edge_id,row,col,theta_deg,edge_len_m,cum_dist_m,elev_m,unit_cost,alpha_parallel_deg,alpha_cross_deg,rho_up,rho_down,rho_roll,rho_slide,rho_max,dominant_limit_code,dominant_limit_name,mu_slide,mu_brake
0,580,679,90.0,28.80030091600653,28.80030091600653,3055.0,1.9923104053229885,29.808855987202545,11.768169401761957,0.9923104053229885,0.0,0.21939357389593178,0.60420113730132,0.9923104053229885,0,上坡牵引,0.34480430956700736,0.34480430956700736
1,580,679,90.0,28.80030091600653,57.60060183201306,3055.0,1.9923104053229885,29.808855987202545,11.768169401761957,0.9923104053229885,0.0,0.21939357389593178,0.60420113730132,0.9923104053229885,0,上坡牵引,0.34480430956700736,0.34480430956700736
2,582,679,90.0,28.80030091600653,86.40090274801959,3084.0,2.4734306018432255,40.387332616145976,5.946801364267782,1.4734306018432253,0.0,0.10969678694796585,0.2977771968913555,1.4734306018432253,0,上坡牵引,0.34981045924654675,0.34981045924654675
3,582,679,90.0,28.80030091600653,115.20120366402612,3084.0,2.4734306018432255,40.387332616145976,5.946801364267782,1.4734306018432253,0.0,0.10969678694796585,0.2977771968913555,1.4734306018432253,0,上坡牵引,0.34981045924654675,0.34981045924654675
4,584,679,90.0,28.80030091600653,144.00150458003264,3131.0,2.052450429888018,31.284227244209976,2.9814301247949677,1.0524504298880182,0.0,0.05484839347398292,0.15092810382579305,1.0524504298880182,0,上坡牵引,0.345083438250398,0.345083438250398
5,584,679,90.0,28.80030091600653,172.80180549603918,3131.0,2.052450429888018,31.284227244209976,2.9814301247949677,1.0524504298880182,0.0,0.05484839347398292,0.15092810382579305,1.0524504298880182,0,上坡牵引,0.345083438250398,0.345083438250398
6,586,679,90.0,28.80030091600653,201.6021064120457,3168.0,2.1727304790180773,34.100996270707995,6.9289786662670965,1.172730479018077,0.0,0.12797958477262694,0.3495717545832929,1.172730479018077,0,上坡牵引,0.3476439559789405,0.3476439559789405
7,586,678,135.0,40.729776155842714,242.33188256788844,3173.0,2.297025285315068,36.82726043845071,24.428173456638074,1.2970252853150683,0.0,0.47833194187257616,1.2923373713602786,1.2970252853150683,0,上坡牵引,0.351466389951379,0.351466389951379
8,588,678,135.0,40.729776155842714,283.06165872373117,3216.0,inf,25.583478113381727,7.690492757713022,0.8292456742178307,0.0,0.1422067935296848,1.6879542592517478,1.6879542592517478,3,侧滑附着,0.08,0.08
9,588,676,135.0,40.729776155842714,323.7914348795739,3228.0,1.956821931789805,28.917200023608167,13.129200208573165,0.9568219317898049,0.0,0.24562991609672835,0.6740666598078862,0.9568219317898049,0,上坡牵引,0.3460260011363234,0.3460260011363234
10,590,676,135.0,40.729776155842714,364.5212110354166,3266.0,2.4458642524823717,39.85412003248107,6.998631231543704,1.4458642524823717,0.0,0.1292789032088044,0.3418408686870677,1.4458642524823717,0,上坡牵引,0.35911537268179977,0.35911537268179977
11,590,674,135.0,40.729776155842714,405.25098719125936,3292.0,2.4033388332917136,39.01501574039502,25.008542397430375,1.4033388332917134,0.0,0.4912598321934567,1.2356460533834461,1.4033388332917134,0,上坡牵引,0.3775265420226361,0.3775265420226361
12,592,674,135.0,40.729776155842714,445.9807633471021,3330.0,1.914296512599147,27.828199353972924,15.766958331444604,0.9142965125991468,0.0,0.2973414773802501,0.7310135828574449,0.9142965125991468,0,上坡牵引,0.38624277561483045,0.38624277561483045
13,592,672,135.0,40.729776155842714,486.7105395029448,3331.0,2.0569729945002595,25.008542397430382,21.446537789901328,0.8079829646225019,0.0,0.4136924902681741,1.0569729945002595,1.0569729945002595,3,侧滑附着,0.37165849756002084,0.37165849756002084
14,594,672,135.0,40.729776155842714,527.4403156587875,3368.0,2.1675753387883416,28.917200023608167,22.053313814168007,0.9568219317898049,0.0,0.42662038058905455,1.1675753387883416,1.1675753387883416,3,侧滑附着,0.3469660694761773,0.3469660694761773
15,594,670,135.0,40.729776155842714,568.1700918146303,3380.0,2.068106948257895,17.701877165053617,21.446537789901328,0.5528304494785538,0.0,0.4136924902681741,1.068106948257895,1.068106948257895,3,侧滑附着,0.36778432696001795,0.36778432696001795
16,596,670,135.0,40.729776155842714,608.899867970473,3411.0,2.307802939470486,24.42817345663808,24.42817345663808,0.7867202550271726,0.0,0.4783319418725763,1.3078029394704858,1.3078029394704858,3,侧滑附着,0.3473100853250047,0.3473100853250047
17,596,668,135.0,40.729776155842714,649.6296441263157,3414.0,2.594287407519386,29.98380530918294,31.027982518193017,0.9993473509804627,0.0,0.6334666257231417,1.5942874075193856,1.5942874075193856,3,侧滑附着,0.37730055505058535,0.37730055505058535
18,598,668,135.0,40.729776155842714,690.3594202821585,3449.0,2.0343270069767905,22.654927938017725,20.217790366913352,0.7229321262411857,0.0,0.3878367096264132,1.0343270069767905,1.0343270069767905,3,侧滑附着,0.35605850990676013,0.35605850990676013
